itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,city_type_city,city_type_suburb,city_type_rural,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more; Israel or the Palestinians [pah-luh-stin-ians]?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Israel,47%,52%,45%,27%,36%,57%,63%,56%,28%,36%,34%,46%,49%,53%,57%,26%,36%,39%,40%,62%,45%,48%,50%,32%,66%,32%,31%,76%,43%,29%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Palestinians,20%,16%,22%,46%,24%,13%,11%,17%,34%,27%,22%,24%,18%,20%,14%,34%,26%,28%,23%,12%,24%,22%,19%,31%,10%,17%,34%,4%,21%,34%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Both equally,13%,14%,12%,9%,15%,14%,10%,13%,11%,13%,13%,16%,11%,16%,11%,14%,11%,13%,15%,9%,12%,11%,15%,17%,8%,14%,16%,7%,17%,17%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,20%,17%,22%,19%,24%,16%,17%,15%,27%,25%,32%,15%,22%,10%,18%,25%,28%,20%,22%,17%,20%,19%,16%,20%,16%,37%,20%,13%,19%,21%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","[ROTATE ORDER OF NEXT TWO QUESTIONS] Thinking about the broader Israeli-Palestinian [pah-luh-stin-ian] conflict, do you think Israel is seriously interested in a peaceful solution, or is it not seriously interested in a peaceful solution?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","[ROTATE ORDER OF NEXT TWO QUESTIONS] Thinking about the broader Israeli-Palestinian [pah-luh-stin-ian] conflict, do you think Israel is seriously interested in a peaceful solution, or is it not seriously interested in a peaceful solution?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","[ROTATE ORDER OF NEXT TWO QUESTIONS] Thinking about the broader Israeli-Palestinian [pah-luh-stin-ian] conflict, do you think Israel is seriously interested in a peaceful solution, or is it not seriously interested in a peaceful solution?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Israel is seriously interested in a peaceful solution,45%,48%,44%,28%,32%,57%,54%,50%,35%,29%,39%,40%,48%,43%,55%,30%,35%,40%,37%,58%,51%,40%,44%,34%,58%,33%,36%,62%,42%,35%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Israel is NOT seriously interested in a peaceful solution,38%,38%,38%,59%,47%,32%,28%,34%,47%,53%,42%,44%,36%,41%,30%,54%,46%,42%,44%,29%,31%,46%,43%,49%,28%,34%,46%,23%,46%,49%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,17%,14%,19%,13%,21%,11%,17%,15%,18%,17%,19%,17%,16%,16%,15%,16%,19%,18%,20%,13%,18%,14%,13%,17%,14%,33%,18%,15%,11%,15%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the broader Israeli-Palestinian [pah-luh-stin-ian] conflict, do you think Palestinians [pah-luh-stin-ians] are seriously interested in a peaceful solution, or are they not seriously interested in a peaceful solution?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the broader Israeli-Palestinian [pah-luh-stin-ian] conflict, do you think Palestinians [pah-luh-stin-ians] are seriously interested in a peaceful solution, or are they not seriously interested in a peaceful solution?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the broader Israeli-Palestinian [pah-luh-stin-ian] conflict, do you think Palestinians [pah-luh-stin-ians] are seriously interested in a peaceful solution, or are they not seriously interested in a peaceful solution?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Palestinians are seriously interested in a peaceful solution,34%,34%,35%,50%,35%,30%,33%,31%,44%,39%,47%,42%,30%,40%,25%,49%,40%,42%,39%,24%,39%,39%,32%,48%,23%,29%,50%,15%,38%,50%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Palestinians are NOT seriously interested in a peaceful solution,46%,49%,44%,33%,44%,53%,50%,51%,32%,41%,33%,40%,50%,44%,56%,29%,39%,38%,38%,59%,43%,45%,51%,31%,62%,35%,29%,67%,46%,31%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,20%,17%,21%,17%,21%,17%,18%,18%,23%,20%,20%,18%,20%,16%,20%,22%,21%,20%,22%,17%,18%,16%,18%,21%,15%,36%,21%,18%,15%,19%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(Split A) Which comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(Split A) Which comes closer to your view, even if neither is exactly right?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(Split A) Which comes closer to your view, even if neither is exactly right?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Israel should stop its military campaign in order to protect against civilian casualties, even if not all Israeli hostages have been released.",44%,36%,50%,67%,54%,36%,35%,40%,57%,56%,49%,50%,40%,47%,36%,62%,52%,50%,48%,35%,40%,54%,42%,57%,31%,42%,59%,25%,46%,59%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Israel should continue its military campaign until all hostages are released, even if it means civilian casualties in Gaza might continue.",39%,50%,31%,22%,34%,46%,48%,44%,22%,34%,27%,33%,43%,37%,48%,21%,32%,32%,34%,49%,38%,38%,42%,22%,56%,37%,24%,59%,38%,24%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,17%,14%,19%,11%,13%,18%,17%,16%,21%,10%,24%,16%,17%,16%,16%,17%,17%,17%,18%,16%,22%,8%,17%,21%,12%,22%,17%,16%,17%,17%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,520,245,264,84,134,169,113,357,55,65,29,257,259,191,166,61,87,129,209,182,119,131,237,243,233,44,155,153,166,237
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,45%,53%,13%,24%,32%,27%,69%,11%,12%,6%,37%,62%,27%,41%,9%,20%,22%,41%,37%,27%,25%,41%,45%,46%,9%,30%,29%,31%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(Split B) Which comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
