itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,6%,4%,1%,6%,5%,4%,5%,1%,7%,3%,2%,6%,3%,7%,0%,5%,6%,4%,4%,5%,3%,6%,5%,5%,4%,5%,5%,5%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,42%,52%,33%,32%,35%,46%,49%,48%,17%,41%,19%,29%,51%,31%,60%,20%,30%,34%,37%,51%,40%,31%,39%,55%,3%,78%,36%,10%,86%,39%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,53%,42%,64%,67%,59%,49%,47%,47%,81%,53%,79%,70%,43%,66%,34%,80%,65%,60%,59%,45%,55%,66%,55%,41%,91%,17%,59%,86%,10%,57%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,49%,18%,22%,31%,24%,64%,12%,11%,9%,39%,58%,27%,37%,12%,19%,21%,20%,35%,24%,24%,44%,33%,44%,49%,7%,33%,24%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,34%,42%,27%,17%,28%,43%,39%,41%,9%,22%,26%,27%,38%,32%,46%,17%,21%,40%,29%,36%,29%,27%,26%,47%,2%,70%,23%,5%,69%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,16%,16%,16%,18%,19%,14%,12%,15%,13%,17%,19%,13%,17%,14%,16%,13%,18%,22%,10%,19%,10%,12%,18%,15%,7%,20%,41%,9%,20%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,12%,12%,12%,14%,11%,9%,17%,9%,28%,7%,23%,13%,11%,13%,7%,13%,18%,9%,13%,11%,17%,17%,14%,7%,22%,4%,6%,13%,4%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,34%,26%,42%,50%,37%,31%,29%,30%,50%,53%,27%,44%,30%,39%,25%,57%,41%,25%,45%,29%,43%,44%,35%,27%,65%,4%,26%,69%,5%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,4%,3%,1%,5%,3%,3%,4%,0%,0%,5%,2%,4%,3%,5%,0%,2%,4%,3%,5%,1%,0%,5%,4%,4%,3%,4%,4%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,50%,58%,43%,35%,46%,56%,51%,56%,22%,39%,45%,41%,55%,46%,62%,30%,39%,62%,39%,55%,39%,39%,45%,62%,9%,90%,64%,14%,89%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,47%,38%,54%,64%,49%,40%,46%,39%,78%,61%,50%,57%,41%,51%,33%,70%,59%,34%,58%,40%,60%,61%,50%,34%,87%,7%,31%,82%,10%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,45%,54%,14%,24%,31%,26%,67%,9%,12%,8%,35%,64%,24%,43%,9%,19%,22%,21%,35%,22%,23%,41%,36%,47%,44%,9%,31%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The economy,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The economy,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,18%,16%,20%,7%,8%,18%,34%,19%,21%,12%,15%,22%,15%,24%,15%,18%,16%,24%,21%,12%,18%,26%,16%,14%,37%,3%,0%,39%,2%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,17%,16%,18%,21%,20%,13%,18%,13%,24%,14%,40%,23%,13%,22%,6%,27%,25%,14%,20%,15%,19%,18%,21%,9%,33%,2%,15%,30%,2%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,14%,10%,17%,25%,19%,9%,6%,12%,21%,25%,11%,16%,12%,15%,10%,20%,17%,20%,10%,13%,14%,13%,16%,12%,18%,10%,19%,13%,11%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,49%,57%,41%,43%,52%,57%,40%,56%,30%,45%,29%,37%,58%,38%,68%,32%,37%,40%,47%,58%,47%,38%,46%,62%,9%,84%,60%,14%,84%,56%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,1%,3%,4%,<1%,3%,2%,<1%,3%,5%,5%,2%,2%,<1%,<1%,3%,5%,2%,2%,2%,3%,5%,1%,2%,3%,<1%,6%,4%,1%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,34%,32%,38%,28%,28%,31%,52%,31%,45%,25%,55%,45%,28%,46%,21%,44%,40%,38%,41%,27%,37%,44%,37%,23%,70%,5%,15%,69%,4%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,63%,67%,59%,68%,71%,66%,46%,68%,52%,70%,40%,53%,70%,53%,78%,52%,55%,60%,57%,71%,61%,51%,62%,75%,27%,94%,80%,27%,95%,73%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,49%,18%,22%,31%,24%,64%,12%,11%,9%,39%,58%,27%,37%,12%,19%,21%,20%,35%,24%,24%,44%,33%,44%,49%,7%,33%,24%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The coronavirus pandemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The coronavirus pandemic,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The coronavirus pandemic,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,26%,22%,29%,16%,19%,27%,39%,24%,37%,30%,33%,31%,23%,32%,19%,34%,33%,21%,30%,23%,31%,36%,25%,20%,51%,3%,7%,60%,3%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,29%,25%,33%,36%,34%,26%,21%,24%,32%,40%,41%,30%,28%,25%,23%,38%,36%,25%,34%,26%,32%,34%,32%,22%,36%,20%,31%,29%,26%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,10%,11%,9%,11%,15%,10%,4%,10%,8%,15%,2%,11%,9%,12%,10%,11%,9%,9%,9%,12%,8%,7%,10%,11%,6%,13%,17%,3%,11%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,30%,35%,24%,33%,24%,32%,32%,35%,17%,16%,23%,21%,35%,23%,41%,17%,20%,39%,22%,33%,24%,20%,26%,41%,3%,57%,37%,4%,53%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,7%,4%,4%,7%,5%,4%,7%,5%,0%,0%,6%,6%,7%,7%,0%,3%,6%,6%,6%,5%,3%,7%,6%,4%,7%,7%,4%,7%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,55%,47%,62%,52%,53%,53%,60%,48%,70%,69%,75%,61%,50%,58%,42%,72%,69%,46%,63%,49%,63%,70%,57%,42%,87%,23%,38%,90%,29%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,40%,46%,34%,44%,39%,42%,36%,45%,25%,31%,25%,33%,44%,35%,50%,28%,28%,48%,31%,45%,32%,27%,36%,52%,9%,69%,55%,7%,64%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,45%,54%,14%,24%,31%,26%,67%,9%,12%,8%,35%,64%,24%,43%,9%,19%,22%,21%,35%,22%,23%,41%,36%,47%,44%,9%,31%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Maintaining law and order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Maintaining law and order,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Maintaining law and order,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,17%,13%,22%,8%,11%,16%,31%,16%,32%,13%,15%,18%,16%,23%,11%,10%,28%,21%,21%,15%,15%,24%,14%,16%,35%,4%,2%,39%,2%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,25%,22%,28%,32%,33%,19%,21%,22%,30%,23%,40%,34%,19%,32%,15%,41%,25%,29%,26%,20%,26%,28%,29%,16%,43%,6%,37%,38%,5%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,13%,12%,14%,20%,15%,11%,10%,11%,15%,22%,15%,12%,13%,9%,12%,20%,14%,9%,14%,14%,13%,13%,13%,12%,11%,14%,12%,10%,10%,17%
