itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements."
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly agree,46%,47%,45%,42%,44%,52%,44%,48%,30%,42%,50%,44%,48%,44%,51%,43%,37%,41%,46%,52%,44%,34%,44%,55%,19%,68%,71%,18%,67%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat agree,25%,25%,26%,40%,29%,17%,28%,24%,32%,30%,27%,28%,24%,28%,21%,26%,33%,30%,23%,25%,23%,41%,25%,18%,37%,15%,19%,35%,18%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disagree,15%,13%,17%,8%,18%,18%,12%,15%,16%,16%,7%,13%,16%,13%,17%,14%,14%,17%,17%,11%,18%,9%,18%,15%,22%,11%,3%,26%,9%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disagree,12%,13%,11%,10%,7%,13%,14%,11%,21%,12%,13%,14%,11%,14%,9%,14%,16%,9%,14%,11%,14%,15%,12%,11%,22%,5%,3%,20%,5%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,1%,2%,<1%,<.5%,3%,<.5%,2%,1%,1%,<.5%,4%,<1%,2%,<.5%,2%,3%,<.5%,3%,<.5%,1%,2%,<1%,1%,2%,<1%,2%,3%,<.5%,2%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Agree,72%,72%,71%,81%,73%,68%,72%,72%,62%,72%,77%,72%,72%,73%,72%,69%,70%,71%,69%,77%,67%,75%,69%,73%,56%,83%,91%,53%,85%,74%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disagree,27%,26%,28%,18%,25%,31%,27%,26%,37%,28%,20%,27%,27%,27%,26%,28%,30%,26%,30%,22%,32%,24%,30%,26%,44%,15%,6%,46%,14%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly agree,21%,21%,22%,25%,20%,15%,29%,21%,35%,17%,16%,24%,20%,24%,19%,24%,23%,21%,22%,19%,25%,21%,23%,19%,36%,5%,37%,28%,7%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat agree,20%,21%,20%,35%,24%,16%,16%,17%,26%,25%,42%,25%,17%,26%,11%,26%,32%,20%,22%,18%,22%,30%,22%,14%,29%,11%,26%,31%,12%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disagree,23%,24%,23%,23%,22%,30%,18%,25%,16%,24%,15%,24%,23%,25%,25%,21%,18%,29%,24%,21%,21%,20%,26%,22%,21%,26%,20%,23%,24%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disagree,33%,33%,34%,17%,31%,38%,35%,36%,22%,32%,27%,25%,38%,24%,43%,26%,28%,29%,31%,40%,31%,28%,28%,43%,12%,57%,10%,17%,57%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,2%,1%,2%,<1%,2%,<.5%,2%,2%,1%,1%,<1%,2%,2%,1%,2%,3%,<.5%,2%,<1%,2%,1%,<1%,1%,2%,2%,<1%,6%,1%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Agree,42%,42%,42%,60%,45%,31%,45%,37%,60%,42%,58%,49%,37%,49%,30%,50%,54%,40%,44%,38%,47%,51%,45%,33%,65%,17%,63%,59%,19%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disagree,57%,57%,56%,40%,54%,68%,53%,61%,38%,56%,42%,49%,61%,50%,68%,47%,46%,57%,55%,61%,51%,48%,54%,65%,33%,83%,30%,39%,81%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Joe Biden’s age makes him ineffective, but he is still able to handle the job of president well enough",25%,23%,27%,39%,29%,17%,26%,23%,36%,29%,24%,30%,22%,30%,19%,30%,30%,24%,29%,23%,27%,38%,28%,16%,43%,9%,20%,41%,13%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden’s age is such a problem that he is not capable of handling the job of president,44%,46%,41%,41%,43%,50%,40%,47%,22%,38%,50%,40%,46%,41%,50%,37%,34%,45%,39%,49%,39%,33%,39%,54%,11%,71%,61%,11%,70%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,3%,2%,2%,1%,5%,2%,4%,5%,3%,2%,3%,1%,3%,3%,5%,2%,1%,5%,<1%,5%,2%,3%,1%,3%,10%,1%,1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Somewhat disagree,15%,13%,17%,8%,18%,18%,12%,15%,16%,16%,7%,13%,16%,13%,17%,14%,14%,17%,17%,11%,18%,9%,18%,15%,22%,11%,3%,26%,9%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Strongly disagree,12%,13%,11%,10%,7%,13%,14%,11%,21%,12%,13%,14%,11%,14%,9%,14%,16%,9%,14%,11%,14%,15%,12%,11%,22%,5%,3%,20%,5%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don't know/Refused,1%,2%,<1%,<.5%,3%,<.5%,2%,1%,1%,<.5%,4%,<1%,2%,<.5%,2%,3%,<.5%,3%,<.5%,1%,2%,<1%,1%,2%,<1%,2%,3%,<.5%,2%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Donald Trump’s age makes him ineffective, but he is still able to handle the job of president well enough",19%,18%,20%,35%,25%,13%,12%,15%,27%,27%,30%,21%,17%,19%,13%,26%,29%,20%,25%,13%,21%,23%,18%,17%,22%,14%,27%,22%,12%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump’s age  is such a problem that he is not capable of handling the job of president,21%,22%,20%,21%,19%,16%,28%,21%,23%,12%,22%,25%,18%,28%,17%,16%,20%,20%,18%,21%,22%,21%,26%,14%,39%,2%,35%,32%,6%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,2%,3%,<1%,2%,5%,1%,11%,3%,5%,4%,2%,2%,<.5%,8%,5%,<1%,<1%,4%,4%,7%,<1%,2%,5%,<1%,1%,6%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Somewhat disagree,23%,24%,23%,23%,22%,30%,18%,25%,16%,24%,15%,24%,23%,25%,25%,21%,18%,29%,24%,21%,21%,20%,26%,22%,21%,26%,20%,23%,24%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Strongly disagree,33%,33%,34%,17%,31%,38%,35%,36%,22%,32%,27%,25%,38%,24%,43%,26%,28%,29%,31%,40%,31%,28%,28%,43%,12%,57%,10%,17%,57%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don't know/Refused,2%,1%,2%,<1%,2%,<.5%,2%,2%,1%,1%,<1%,2%,2%,1%,2%,3%,<.5%,2%,<1%,2%,1%,<1%,1%,2%,2%,<1%,6%,1%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
