itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
What single news source do you turn to most often?,[VOL] Newsmax,1%,1%,1%,0%,<1%,2%,2%,2%,<.5%,<1%,2%,1%,3%,<.5%,<.5%,1%,2%,2%,<1%,0%,3%,0%,0%,3%,2%,0%,4%,<.5%,NA,NA
What single news source do you turn to most often?,[VOL] Local print or online news organizations,1%,<1%,1%,<.5%,1%,<1%,1%,1%,<.5%,1%,<1%,2%,1%,<.5%,<.5%,2%,<1%,<1%,<1%,<1%,1%,2%,1%,1%,1%,<1%,1%,2%,NA,NA
What single news source do you turn to most often?,[VOL] Talk radio/conservative personality,<1%,1%,<.5%,<.5%,1%,<.5%,<1%,<1%,<.5%,<.5%,<1%,<.5%,1%,<.5%,<.5%,<.5%,0%,2%,<.5%,0%,1%,0%,0%,1%,<.5%,0%,1%,<.5%,NA,NA
What single news source do you turn to most often?,[VOL] Friends and family,<.5%,<.5%,<.5%,2%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,<.5%,0%,<.5%,<.5%,1%,<.5%,<.5%,<.5%,<.5%,<.5%,2%,NA,NA
What single news source do you turn to most often?,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,0%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,<.5%,0%,0%,NA,NA
What single news source do you turn to most often?,[VOL] Doesn’t consume news,2%,2%,1%,2%,2%,2%,<.5%,1%,2%,1%,2%,1%,1%,1%,2%,2%,<1%,2%,<1%,1%,2%,5%,<1%,2%,2%,<1%,2%,2%,NA,NA
What single news source do you turn to most often?,[VOL] Other (includes no preference and the internet),8%,8%,9%,6%,7%,9%,9%,8%,9%,8%,9%,8%,8%,6%,11%,6%,9%,9%,10%,7%,10%,10%,7%,8%,11%,7%,11%,8%,NA,NA
What single news source do you turn to most often?,[VOL] Don't know/Refused,5%,5%,4%,3%,6%,3%,5%,4%,4%,4%,5%,4%,4%,5%,4%,5%,3%,6%,2%,2%,6%,17%,1%,5%,5%,2%,5%,5%,NA,NA
What single news source do you turn to most often?,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,11%,8%,13%,18%,15%,9%,8%,11%,12%,15%,8%,15%,8%,16%,10%,10%,14%,8%,15%,22%,<1%,2%,26%,<1%,6%,22%,<1%,9%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,13%,10%,16%,18%,15%,12%,11%,12%,19%,15%,12%,16%,9%,15%,21%,12%,18%,12%,13%,23%,3%,6%,27%,4%,11%,23%,3%,14%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,36%,39%,35%,38%,37%,36%,35%,35%,39%,41%,33%,39%,33%,46%,34%,38%,34%,34%,40%,44%,27%,39%,37%,22%,53%,45%,23%,46%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,21%,25%,18%,14%,20%,24%,24%,23%,17%,15%,25%,16%,28%,13%,18%,20%,21%,22%,21%,7%,36%,24%,6%,38%,18%,7%,38%,19%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,16%,16%,15%,10%,11%,19%,17%,18%,9%,12%,18%,14%,21%,6%,11%,16%,10%,22%,10%,2%,30%,12%,3%,34%,9%,2%,33%,8%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,2%,2%,2%,2%,2%,1%,3%,1%,5%,1%,3%,<.5%,2%,4%,5%,3%,3%,3%,1%,1%,2%,18%,<1%,<1%,3%,1%,2%,5%,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Which of the following general income categories is your total household income before taxes?,"Under $25,000",8%,8%,9%,16%,5%,6%,11%,8%,10%,2%,13%,2%,12%,4%,14%,9%,10%,9%,7%,8%,8%,15%,10%,8%,7%,8%,8%,15%,NA,NA
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",16%,12%,20%,27%,11%,14%,18%,16%,19%,8%,22%,9%,21%,7%,25%,20%,13%,18%,14%,16%,17%,12%,17%,18%,14%,15%,17%,22%,NA,NA
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",28%,30%,27%,27%,32%,23%,34%,26%,33%,26%,30%,23%,29%,34%,33%,28%,24%,30%,29%,27%,30%,28%,27%,29%,29%,28%,29%,31%,NA,NA
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",26%,27%,25%,14%,34%,32%,19%,28%,22%,35%,20%,37%,21%,30%,17%,26%,28%,24%,27%,26%,27%,16%,25%,27%,28%,27%,27%,17%,NA,NA
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",14%,17%,12%,7%,16%,21%,10%,16%,10%,23%,9%,24%,10%,19%,5%,11%,16%,14%,16%,16%,13%,15%,14%,13%,16%,17%,12%,8%,NA,NA
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,7%,6%,7%,9%,3%,4%,8%,6%,6%,6%,7%,5%,7%,6%,6%,6%,9%,6%,8%,7%,6%,14%,7%,5%,6%,6%,7%,6%,NA,NA
Which of the following general income categories is your total household income before taxes?,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,20%,20%,19%,16%,16%,22%,22%,18%,24%,22%,18%,22%,15%,23%,25%,20%,26%,16%,21%,19%,21%,15%,20%,22%,17%,19%,20%,24%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant/Christian,40%,39%,43%,28%,32%,42%,49%,42%,35%,36%,44%,37%,46%,33%,38%,41%,28%,52%,31%,29%,54%,33%,32%,56%,33%,31%,55%,28%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon/Latter-day Saints,2%,2%,2%,1%,2%,2%,3%,3%,<1%,1%,3%,2%,3%,<1%,<1%,<1%,<.5%,<1%,7%,2%,2%,3%,2%,2%,2%,2%,2%,2%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,2%,2%,2%,3%,2%,2%,<1%,2%,<.5%,3%,1%,3%,2%,<1%,<.5%,<.5%,4%,2%,1%,3%,1%,<1%,3%,<1%,2%,2%,<1%,3%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,<1%,<1%,<1%,<1%,1%,<.5%,<1%,<.5%,2%,<1%,<1%,<.5%,0%,3%,2%,<.5%,2%,<1%,<.5%,<1%,<1%,1%,<.5%,<.5%,2%,<1%,<1%,<1%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,<1%,<1%,<.5%,<1%,<1%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<1%,0%,<1%,<1%,<1%,<.5%,<1%,<1%,<.5%,<1%,<1%,<.5%,<1%,<.5%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Hindu,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<1%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,<1%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Buddhist,<.5%,<1%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<.5%,2%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,0%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Some other religion (specify),2%,1%,2%,2%,2%,2%,1%,1%,3%,2%,2%,<1%,1%,4%,2%,1%,2%,2%,<1%,2%,<.5%,4%,2%,<.5%,2%,2%,<.5%,2%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",No religious affiliation,30%,31%,29%,47%,41%,28%,18%,31%,30%,32%,29%,34%,29%,29%,30%,33%,35%,23%,35%,42%,18%,32%,39%,15%,38%,40%,17%,36%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Don't know/Refused,3%,2%,3%,1%,2%,1%,4%,2%,4%,2%,3%,<1%,2%,5%,3%,3%,1%,3%,2%,2%,3%,10%,1%,3%,2%,1%,3%,3%,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"Aside from weddings and funerals, how often do you attend religious services? Would you say you attend services once a week or more often, once or twice a month, a few times a year, seldom, or would you say you never attend religious services?",Once a week or more often,26%,23%,29%,19%,22%,24%,36%,25%,28%,25%,27%,25%,26%,25%,30%,25%,19%,32%,25%,18%,34%,38%,19%,34%,23%,19%,34%,22%,NA,NA
"Aside from weddings and funerals, how often do you attend religious services? Would you say you attend services once a week or more often, once or twice a month, a few times a year, seldom, or would you say you never attend religious services?",Once or twice a month,13%,14%,13%,14%,10%,16%,12%,13%,13%,13%,14%,13%,14%,12%,13%,16%,11%,14%,12%,11%,16%,17%,11%,16%,13%,11%,17%,10%,NA,NA
"Aside from weddings and funerals, how often do you attend religious services? Would you say you attend services once a week or more often, once or twice a month, a few times a year, seldom, or would you say you never attend religious services?",A few times a year,18%,19%,17%,18%,19%,18%,18%,17%,21%,19%,18%,17%,18%,23%,19%,17%,19%,20%,17%,18%,18%,16%,19%,19%,17%,17%,18%,24%,NA,NA
"Aside from weddings and funerals, how often do you attend religious services? Would you say you attend services once a week or more often, once or twice a month, a few times a year, seldom, or would you say you never attend religious services?",Seldom,18%,19%,18%,17%,16%,19%,19%,19%,17%,19%,18%,19%,18%,19%,16%,18%,23%,15%,19%,21%,16%,11%,21%,17%,18%,22%,14%,18%,NA,NA
"Aside from weddings and funerals, how often do you attend religious services? Would you say you attend services once a week or more often, once or twice a month, a few times a year, seldom, or would you say you never attend religious services?",Never,22%,24%,21%,31%,31%,22%,15%,24%,19%,23%,22%,26%,23%,18%,21%,22%,26%,19%,26%,31%,14%,15%,29%,11%,28%,30%,15%,23%,NA,NA
"Aside from weddings and funerals, how often do you attend religious services? Would you say you attend services once a week or more often, once or twice a month, a few times a year, seldom, or would you say you never attend religious services?",[VOL] Don't know/Refused,1%,1%,1%,1%,<1%,1%,2%,<1%,2%,1%,1%,<1%,1%,3%,<1%,1%,2%,2%,1%,1%,2%,4%,1%,2%,<1%,1%,2%,2%,NA,NA
"Aside from weddings and funerals, how often do you attend religious services? Would you say you attend services once a week or more often, once or twice a month, a few times a year, seldom, or would you say you never attend religious services?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Yes,26%,26%,27%,16%,21%,29%,31%,27%,25%,19%,31%,18%,33%,23%,27%,22%,16%,36%,24%,15%,39%,25%,16%,43%,21%,15%,41%,18%,NA,NA
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",No,19%,17%,20%,17%,18%,17%,23%,20%,16%,21%,17%,22%,18%,18%,15%,22%,16%,19%,17%,20%,18%,15%,20%,17%,19%,21%,16%,18%,NA,NA
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",53%,55%,51%,66%,60%,53%,44%,52%,58%,58%,50%,59%,47%,57%,57%,55%,68%,43%,57%,64%,41%,58%,62%,39%,59%,62%,41%,63%,NA,NA
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",[VOL] Refused,1%,2%,1%,<.5%,<1%,<1%,2%,2%,1%,1%,2%,<1%,2%,2%,1%,<1%,<.5%,2%,2%,1%,2%,2%,1%,2%,1%,1%,2%,1%,NA,NA
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Yes,31%,37%,26%,27%,36%,35%,28%,30%,33%,36%,28%,36%,26%,35%,33%,29%,28%,32%,35%,34%,30%,18%,32%,27%,35%,35%,28%,29%,NA,NA
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,No,69%,63%,74%,73%,64%,65%,72%,70%,67%,64%,72%,64%,74%,65%,67%,71%,72%,68%,65%,66%,70%,82%,68%,73%,65%,65%,72%,71%,NA,NA
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
