itm,v1,registered_voters_registered_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,19%,21%,20%,16%,22%,16%,19%,24%,15%,27%,22%,19%,13%,20%,11%,22%,24%,18%,20%,19%,20%,14%,20%,15%,19%,22%,3%,35%,11%,3%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,10%,6%,12%,11%,11%,10%,10%,11%,9%,19%,11%,9%,4%,8%,16%,14%,15%,10%,10%,10%,6%,10%,17%,10%,10%,9%,8%,9%,24%,5%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,43%,44%,37%,44%,39%,45%,47%,35%,49%,38%,45%,40%,47%,41%,59%,40%,39%,53%,37%,52%,35%,60%,43%,51%,46%,33%,87%,3%,50%,90%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,4%,2%,2%,2%,2%,2%,3%,2%,1%,2%,3%,1%,6%,3%,1%,2%,2%,<1%,1%,2%,4%,3%,2%,2%,2%,<1%,12%,2%
How satisfied are you with the way things are going in your life these days?,NET Favorable,45%,48%,47%,43%,48%,43%,41%,52%,39%,41%,43%,49%,45%,50%,19%,43%,44%,35%,51%,37%,57%,28%,36%,36%,42%,55%,4%,88%,14%,3%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,53%,50%,49%,55%,49%,55%,57%,46%,59%,57%,56%,49%,52%,49%,75%,54%,54%,63%,47%,62%,41%,70%,60%,61%,57%,42%,95%,12%,74%,95%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Joe Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Joe Biden,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Joe Biden,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,16%,16%,14%,17%,12%,19%,16%,14%,18%,4%,9%,17%,30%,15%,24%,14%,13%,20%,14%,19%,13%,22%,17%,19%,17%,13%,37%,<1%,<.5%,45%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,24%,23%,23%,23%,23%,22%,29%,20%,28%,31%,28%,21%,18%,20%,41%,30%,27%,27%,22%,24%,17%,37%,33%,30%,26%,16%,47%,5%,18%,46%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,14%,14%,17%,13%,17%,11%,12%,14%,14%,30%,18%,10%,5%,13%,12%,20%,18%,15%,13%,16%,11%,14%,18%,13%,15%,14%,12%,13%,31%,7%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,45%,46%,43%,46%,46%,45%,41%,51%,39%,33%,44%,50%,45%,51%,17%,34%,41%,37%,49%,40%,57%,25%,31%,36%,41%,55%,4%,81%,40%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,1%,3%,1%,2%,2%,1%,1%,2%,2%,<1%,1%,2%,1%,4%,1%,2%,1%,2%,<1%,1%,2%,2%,2%,1%,2%,<1%,<1%,11%,<.5%
How satisfied are you with the way things are going in your life these days?,NET Favorable,40%,39%,37%,40%,35%,41%,45%,34%,45%,35%,36%,38%,48%,35%,66%,44%,40%,47%,36%,43%,30%,59%,49%,49%,43%,29%,84%,6%,18%,91%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,59%,60%,60%,59%,64%,57%,54%,65%,53%,63%,63%,61%,50%,64%,30%,55%,59%,52%,62%,56%,69%,39%,49%,49%,56%,69%,16%,94%,71%,9%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Robert F. Kennedy Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Robert F. Kennedy Jr.,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Robert F. Kennedy Jr.,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,7%,7%,5%,5%,9%,8%,7%,7%,6%,9%,10%,7%,4%,6%,7%,10%,12%,6%,7%,5%,7%,9%,9%,6%,7%,7%,5%,9%,9%,3%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,34%,36%,38%,33%,35%,35%,30%,36%,33%,42%,36%,35%,28%,34%,31%,41%,32%,30%,37%,31%,36%,28%,38%,32%,32%,39%,22%,45%,36%,17%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,17%,17%,16%,19%,14%,20%,17%,18%,17%,16%,18%,18%,17%,17%,16%,15%,21%,20%,16%,20%,16%,19%,17%,15%,20%,15%,19%,16%,16%,20%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,21%,21%,17%,20%,19%,24%,23%,22%,20%,10%,16%,20%,33%,22%,22%,9%,21%,27%,18%,28%,19%,25%,15%,24%,20%,19%,36%,9%,11%,43%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,7%,5%,7%,10%,8%,3%,7%,5%,8%,10%,6%,7%,5%,6%,8%,9%,5%,5%,7%,4%,7%,5%,8%,8%,7%,5%,5%,7%,8%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,14%,14%,16%,14%,15%,10%,16%,12%,16%,14%,14%,14%,14%,14%,15%,16%,9%,12%,15%,12%,15%,13%,14%,15%,13%,14%,13%,14%,19%,12%
How satisfied are you with the way things are going in your life these days?,NET Favorable,41%,43%,43%,38%,44%,43%,37%,43%,40%,51%,46%,42%,31%,40%,38%,51%,43%,36%,44%,36%,43%,38%,47%,38%,39%,46%,27%,53%,46%,20%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,38%,38%,34%,39%,33%,44%,41%,40%,37%,26%,34%,37%,50%,40%,39%,25%,42%,47%,34%,48%,35%,44%,31%,39%,41%,35%,55%,25%,27%,63%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Joe Rogan [roh-gun], the podcast host",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Joe Rogan [roh-gun], the podcast host",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Joe Rogan [roh-gun], the podcast host",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,13%,15%,9%,11%,15%,14%,11%,17%,8%,14%,17%,13%,6%,14%,4%,14%,12%,11%,14%,10%,16%,12%,8%,11%,11%,15%,3%,22%,7%,2%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,21%,22%,21%,22%,23%,19%,18%,25%,17%,31%,25%,21%,12%,21%,15%,25%,26%,20%,22%,21%,21%,18%,23%,20%,21%,22%,11%,30%,19%,9%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,13%,14%,13%,13%,15%,13%,11%,13%,14%,21%,15%,12%,9%,12%,14%,17%,17%,15%,13%,15%,11%,13%,17%,16%,15%,9%,19%,8%,17%,19%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,18%,17%,19%,19%,17%,16%,18%,15%,20%,16%,19%,17%,19%,17%,23%,14%,20%,23%,15%,22%,14%,25%,17%,18%,19%,16%,30%,8%,15%,33%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,20%,18%,22%,21%,15%,22%,24%,15%,25%,9%,10%,21%,35%,20%,26%,16%,14%,18%,21%,18%,22%,17%,20%,20%,20%,21%,23%,17%,23%,22%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,15%,14%,15%,14%,15%,15%,18%,15%,16%,9%,13%,18%,18%,15%,18%,14%,11%,14%,16%,13%,16%,15%,15%,15%,15%,16%,15%,14%,20%,15%
How satisfied are you with the way things are going in your life these days?,NET Favorable,34%,37%,31%,33%,38%,33%,29%,42%,26%,45%,43%,33%,18%,35%,20%,39%,38%,31%,35%,31%,37%,30%,31%,31%,32%,38%,14%,53%,25%,11%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,31%,31%,33%,32%,32%,30%,29%,28%,34%,37%,34%,28%,28%,30%,36%,31%,37%,37%,28%,38%,25%,38%,34%,35%,34%,25%,49%,16%,32%,51%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Bob Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Bob Casey,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Bob Casey,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,17%,-,-,-,-,17%,-,14%,20%,5%,11%,19%,29%,18%,19%,24%,6%,21%,15%,22%,15%,21%,14%,18%,20%,14%,37%,<1%,9%,40%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,32%,-,-,-,-,32%,-,30%,34%,39%,34%,34%,26%,32%,36%,22%,42%,36%,30%,36%,29%,38%,34%,39%,32%,28%,43%,21%,38%,42%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,17%,-,-,-,-,17%,-,19%,15%,14%,25%,12%,17%,17%,17%,10%,23%,14%,18%,14%,19%,17%,18%,14%,15%,20%,6%,26%,20%,4%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,14%,-,-,-,-,14%,-,18%,11%,4%,7%,18%,19%,16%,<1%,0%,8%,13%,15%,13%,18%,6%,<.5%,5%,15%,18%,<1%,28%,6%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,8%,-,-,-,-,8%,-,9%,7%,17%,9%,5%,5%,6%,14%,30%,15%,5%,10%,4%,7%,9%,20%,14%,7%,6%,4%,11%,15%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,12%,-,-,-,-,12%,-,10%,13%,20%,14%,12%,4%,12%,14%,13%,7%,11%,12%,11%,12%,9%,13%,9%,11%,14%,10%,13%,13%,10%
How satisfied are you with the way things are going in your life these days?,NET Favorable,49%,-,-,-,-,49%,-,44%,54%,44%,45%,52%,55%,49%,55%,47%,47%,57%,45%,58%,44%,59%,48%,58%,52%,42%,80%,21%,47%,82%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,31%,-,-,-,-,31%,-,37%,26%,18%,32%,30%,36%,33%,18%,10%,31%,27%,33%,27%,36%,24%,18%,19%,30%,39%,7%,55%,26%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,51%,15%,23%,32%,28%,79%,11%,3%,5%,38%,62%,31%,49%,6%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) David McCormick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) David McCormick,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) David McCormick,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,12%,-,-,-,-,12%,-,12%,12%,4%,4%,14%,18%,13%,3%,17%,2%,9%,13%,9%,15%,4%,5%,2%,12%,16%,4%,21%,2%,4%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,30%,-,-,-,-,30%,-,33%,27%,29%,33%,29%,30%,32%,24%,10%,27%,27%,31%,27%,34%,27%,21%,25%,26%,36%,18%,41%,23%,17%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,13%,-,-,-,-,13%,-,15%,12%,16%,19%,10%,10%,12%,18%,15%,21%,17%,11%,16%,9%,20%,17%,15%,15%,10%,19%,7%,15%,18%
