itm,v1,ohio_likely_electorate_ohio_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_cleveland_area,region_columbus_area,region_industrial_north_east,region_south_east,region_south_west,region_west_central,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,ohio_likely_electorate_1,men_1,women_5,x18_29_0,x30_44_5,x45_64_0,x65_2,white_1,black_1,oth_0,b_a_0,no_b_a_1,white_college_0,white_no_college_1,non_white_college_0,non_white_no_college_1,cleveland_area_0,columbus_area_1,industrial_north_east_1,south_east_3,south_west_0,west_central_0,city_0,suburb_1,rural_small_town_1,harris_1,trump_1,oth_2,dem_0,rep_1
"(Ask if undecided or persuadable voter)  What, if anything, is your biggest concern about Kamala Harris?",Number of respondents,102,53,47,17,30,33,20,75,11,10,39,61,31,44,7,14,17,14,23,10,19,19,20,39,43,38,33,31,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",The obstacles that once made it harder for women than men to get ahead are now largely gone,48%,58%,38%,49%,42%,54%,44%,50%,30%,43%,41%,52%,43%,54%,30%,40%,44%,37%,44%,46%,52%,62%,37%,43%,58%,18%,76%,36%,12%,74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",There are still significant obstacles that make it harder for women to get ahead than men,48%,36%,60%,50%,52%,41%,53%,47%,59%,56%,57%,43%,55%,42%,70%,50%,52%,61%,49%,44%,46%,35%,59%,54%,37%,79%,20%,57%,84%,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,4%,6%,2%,1%,6%,4%,3%,3%,11%,<1%,2%,5%,2%,4%,0%,10%,3%,3%,7%,10%,2%,3%,3%,3%,5%,3%,5%,7%,4%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Business corporations make too much profit,55%,44%,65%,76%,62%,46%,50%,52%,66%,74%,57%,54%,55%,51%,70%,69%,46%,64%,59%,66%,53%,48%,69%,54%,49%,79%,32%,59%,75%,32%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Most corporations make a fair and reasonable amount of profit,40%,52%,28%,23%,33%,48%,42%,43%,28%,21%,38%,40%,40%,45%,30%,22%,47%,31%,36%,31%,44%,45%,27%,39%,45%,15%,63%,30%,17%,64%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,6%,4%,7%,1%,4%,6%,7%,5%,7%,5%,5%,6%,6%,5%,0%,9%,7%,6%,6%,2%,4%,7%,4%,7%,5%,6%,5%,11%,8%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",America’s openness to people from all over the world is essential to who we are as a nation,59%,55%,62%,67%,66%,56%,54%,57%,62%,79%,73%,51%,72%,48%,79%,65%,60%,64%,60%,52%,60%,53%,61%,64%,52%,88%,32%,61%,87%,36%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?","If America is too open to people from all over the world, we risk losing our identity as a nation",36%,38%,33%,32%,29%,37%,40%,38%,25%,19%,24%,43%,25%,46%,14%,26%,32%,28%,35%,42%,37%,42%,28%,33%,42%,9%,60%,28%,9%,57%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,6%,7%,5%,1%,5%,8%,6%,5%,13%,2%,4%,7%,3%,5%,7%,9%,8%,8%,5%,6%,3%,4%,11%,3%,6%,3%,7%,10%,4%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",It is best for the future of our country to be active in world affairs,47%,46%,50%,37%,36%,46%,62%,48%,54%,45%,60%,40%,61%,40%,59%,44%,58%,51%,50%,38%,44%,38%,51%,55%,38%,72%,28%,30%,77%,33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",We should pay less attention to problems overseas and concentrate on problems here at home,50%,52%,47%,62%,62%,51%,36%,49%,45%,54%,37%,57%,36%,58%,39%,56%,40%,47%,46%,58%,54%,59%,46%,43%,59%,25%,70%,64%,22%,63%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,3%,2%,3%,2%,2%,3%,2%,3%,1%,<.5%,3%,3%,3%,2%,2%,0%,2%,2%,3%,5%,1%,3%,3%,2%,3%,2%,2%,6%,1%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Helped people like you,46%,53%,41%,40%,44%,51%,45%,51%,18%,27%,35%,53%,36%,60%,29%,18%,41%,39%,36%,60%,46%,65%,34%,39%,59%,3%,88%,13%,2%,87%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Hurt people like you,37%,29%,43%,39%,38%,30%,43%,33%,59%,55%,45%,32%,45%,26%,49%,62%,38%,45%,47%,22%,37%,24%,50%,44%,25%,77%,1%,42%,81%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",Haven't made much of a difference either way,16%,17%,15%,21%,17%,19%,12%,16%,22%,19%,19%,15%,18%,14%,23%,19%,21%,15%,17%,16%,15%,11%,15%,18%,15%,19%,11%,41%,16%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Donald Trump’s policies have helped people like you, hurt people like you, or haven’t made much of a difference either way?",[VOL] Don't know/Refused,<1%,<.5%,<1%,<.5%,1%,0%,<1%,<.5%,2%,0%,<1%,<.5%,<1%,<.5%,0%,2%,0%,<1%,0%,2%,<1%,<.5%,<1%,0%,1%,<1%,0%,5%,<1%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Help people like you,33%,25%,40%,45%,33%,26%,36%,30%,51%,52%,41%,28%,39%,24%,52%,51%,33%,41%,41%,18%,31%,24%,48%,37%,22%,72%,<1%,12%,83%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Hurt people like you,46%,56%,38%,38%,47%,51%,42%,50%,19%,33%,35%,53%,35%,58%,27%,25%,41%,37%,36%,59%,47%,62%,33%,41%,56%,2%,87%,24%,3%,80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Wouldn't make much of a difference either way,18%,18%,16%,16%,19%,20%,15%,17%,19%,11%,22%,15%,23%,14%,21%,12%,17%,20%,19%,19%,20%,11%,17%,18%,18%,23%,10%,49%,10%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",[VOL] Don't know/Refused,4%,2%,6%,<1%,2%,3%,7%,3%,11%,4%,2%,4%,3%,3%,0%,12%,8%,2%,3%,3%,2%,3%,1%,4%,4%,4%,2%,15%,4%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think Kamala Harris’s policies would help people like you, hurt people like you, or wouldn't make much of a difference either way?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Society is better off if people make marriage and having children a priority,41%,49%,35%,34%,36%,42%,49%,42%,46%,33%,30%,49%,31%,49%,24%,49%,36%,31%,46%,36%,44%,49%,32%,37%,49%,20%,60%,37%,22%,58%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Society is just as well off if people have priorities other than marriage and children,52%,43%,59%,66%,61%,47%,45%,50%,54%,64%,65%,44%,62%,43%,76%,49%,57%,59%,48%,50%,54%,44%,59%,59%,42%,77%,30%,54%,75%,33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,7%,8%,6%,<.5%,4%,11%,6%,7%,0%,3%,6%,7%,7%,8%,0%,2%,7%,10%,7%,14%,2%,7%,9%,5%,8%,3%,10%,10%,3%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Immigrants today strengthen our country because of their hard work and talents,56%,53%,58%,69%,66%,52%,48%,53%,74%,78%,70%,48%,68%,43%,84%,71%,57%,67%,55%,39%,63%,44%,65%,62%,46%,90%,25%,59%,89%,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?","Immigrants today are a burden on our country because they take our jobs, housing and health care",37%,38%,36%,26%,27%,41%,43%,39%,21%,20%,24%,44%,25%,48%,13%,25%,36%,26%,35%,53%,28%,52%,26%,32%,46%,7%,64%,29%,8%,63%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,8%,9%,6%,5%,7%,7%,9%,8%,5%,2%,6%,8%,7%,8%,3%,4%,7%,6%,10%,8%,9%,5%,9%,6%,8%,3%,11%,13%,3%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",The U.S. has lost out from increased trade because it has cost jobs,52%,52%,53%,44%,49%,57%,51%,50%,62%,63%,44%,57%,43%,55%,52%,69%,44%,52%,51%,62%,47%,64%,53%,46%,59%,35%,68%,49%,35%,65%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",The U.S. has gained from increased trade because it has helped lower prices,35%,38%,32%,42%,40%,30%,34%,35%,35%,33%,42%,30%,42%,31%,45%,28%,37%,37%,34%,30%,38%,29%,37%,39%,29%,53%,20%,23%,54%,21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,13%,11%,15%,15%,11%,13%,15%,15%,3%,4%,13%,13%,15%,14%,4%,4%,19%,11%,15%,8%,16%,8%,10%,15%,13%,13%,12%,28%,12%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Society should accept transgender people as having the gender they identify with,54%,48%,61%,67%,57%,45%,59%,54%,67%,58%,67%,48%,66%,46%,73%,56%,55%,66%,56%,40%,62%,40%,71%,59%,43%,83%,29%,54%,83%,29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Society should NOT accept transgender people as having the gender they identify with,34%,41%,29%,28%,33%,42%,29%,35%,25%,28%,25%,39%,25%,42%,25%,27%,31%,23%,24%,48%,31%,55%,20%,31%,43%,11%,56%,21%,11%,56%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,12%,11%,10%,6%,11%,13%,12%,11%,9%,14%,8%,13%,9%,12%,2%,16%,15%,11%,19%,12%,7%,4%,9%,10%,14%,6%,15%,25%,6%,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",A great deal,23%,15%,29%,34%,29%,21%,16%,19%,56%,29%,30%,19%,26%,14%,49%,40%,25%,27%,22%,16%,27%,15%,35%,28%,12%,42%,4%,38%,47%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",A fair amount,27%,23%,31%,24%,25%,23%,32%,27%,22%,30%,34%,23%,35%,22%,29%,24%,21%,33%,33%,20%,24%,25%,28%,29%,24%,38%,17%,25%,35%,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Not much,22%,23%,22%,22%,19%,24%,23%,25%,8%,13%,19%,24%,19%,28%,15%,8%,28%,19%,18%,27%,20%,24%,21%,18%,27%,11%,34%,6%,8%,36%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Not at all,25%,35%,17%,16%,22%,29%,27%,27%,7%,20%,15%,31%,17%,34%,7%,17%,23%,17%,17%,33%,28%,37%,14%,21%,33%,7%,43%,8%,8%,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",[VOL] Don't know/Refused,4%,5%,2%,5%,5%,3%,2%,2%,7%,8%,3%,3%,2%,1%,2%,10%,3%,4%,9%,4%,<1%,0%,2%,4%,4%,2%,3%,23%,3%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",NET Fair amount/Great deal,49%,38%,59%,58%,54%,44%,48%,46%,78%,60%,64%,41%,62%,37%,77%,65%,46%,60%,55%,36%,51%,40%,63%,57%,35%,80%,21%,63%,82%,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",NET Not much/Not at all,47%,58%,39%,37%,41%,53%,50%,52%,15%,32%,34%,55%,36%,62%,21%,25%,51%,36%,36%,60%,48%,60%,35%,39%,61%,18%,76%,14%,15%,75%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How much, if at all, do you think the legacy of slavery affects the position of Black people in American society today, a great deal, a fair amount, not much or not at all?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Our problems are so bad that America is in danger of failing as a nation,45%,46%,44%,43%,51%,48%,37%,48%,25%,27%,31%,53%,32%,59%,24%,28%,36%,37%,39%,59%,46%,60%,38%,40%,53%,13%,72%,46%,10%,64%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?","Our problems are bad, but America is not in danger of failing as a nation any time soon",15%,19%,12%,17%,12%,16%,16%,15%,11%,27%,17%,14%,17%,13%,19%,19%,18%,18%,14%,16%,13%,12%,15%,15%,15%,11%,18%,25%,8%,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[VOL] Don’t know/Refused,1%,2%,<1%,0%,3%,0%,2%,<1%,5%,4%,<1%,1%,1%,<.5%,0%,7%,3%,<1%,3%,1%,<1%,0%,0%,2%,2%,1%,2%,0%,2%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Country is on the right track,31%,26%,36%,32%,27%,26%,39%,30%,56%,26%,39%,26%,41%,23%,35%,45%,36%,38%,35%,14%,30%,24%,40%,36%,22%,64%,5%,6%,73%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,8%,7%,7%,8%,7%,10%,6%,7%,3%,16%,11%,5%,9%,5%,22%,1%,7%,6%,10%,10%,9%,5%,8%,7%,9%,10%,4%,24%,8%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Which statement comes closer to your view, even if neither is exactly right?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Social media,18%,17%,20%,37%,29%,15%,7%,19%,16%,16%,18%,19%,19%,20%,14%,18%,12%,24%,18%,16%,18%,22%,19%,17%,20%,17%,22%,4%,15%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Fox News,14%,14%,14%,8%,6%,16%,18%,17%,<1%,0%,9%,16%,10%,20%,1%,0%,18%,7%,6%,20%,15%,20%,7%,11%,19%,1%,26%,0%,1%,31%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"[VOL] National television networks, like CBS, NBC or ABC",9%,7%,10%,7%,<.5%,7%,19%,10%,6%,2%,9%,8%,10%,9%,5%,4%,12%,7%,7%,11%,8%,9%,10%,8%,9%,12%,6%,14%,13%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] CNN,8%,5%,11%,3%,9%,9%,9%,8%,7%,17%,9%,8%,9%,7%,8%,14%,8%,12%,9%,5%,5%,10%,9%,9%,8%,13%,3%,15%,16%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"[VOL] National print or online news organizations, like The New York Times or The Wall Street Journal",7%,8%,6%,10%,9%,5%,6%,7%,4%,6%,13%,3%,13%,4%,12%,1%,8%,10%,5%,3%,9%,3%,7%,9%,4%,11%,4%,5%,8%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
