itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,1%,2%,4%,<1%,<1%,2%,1%,6%,<1%,1%,2%,<.5%,2%,6%,3%,0%,2%,0%,6%,2%,3%,0%,4%,<.5%,2%,<.5%,1%,12%,0%
How satisfied are you with the way things are going in your life these days?,NET Favorable,41%,36%,47%,35%,40%,44%,45%,38%,73%,40%,49%,37%,48%,31%,58%,61%,58%,25%,40%,60%,47%,32%,29%,59%,43%,30%,83%,3%,37%,88%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,57%,63%,51%,61%,59%,55%,53%,61%,20%,59%,50%,61%,51%,67%,36%,36%,42%,72%,60%,34%,51%,66%,71%,37%,56%,68%,17%,95%,52%,12%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Robert F. Kennedy Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Robert F. Kennedy Jr.,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Robert F. Kennedy Jr.,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,8%,9%,7%,13%,9%,8%,5%,7%,12%,17%,6%,9%,5%,8%,10%,16%,6%,3%,15%,6%,5%,15%,7%,8%,9%,6%,8%,8%,7%,5%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,35%,36%,35%,35%,31%,42%,28%,37%,21%,37%,28%,39%,27%,43%,30%,26%,19%,48%,39%,27%,35%,28%,45%,27%,31%,46%,21%,47%,45%,16%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,20%,21%,19%,18%,22%,16%,24%,19%,27%,19%,23%,18%,24%,15%,16%,28%,14%,12%,20%,27%,19%,23%,23%,24%,22%,14%,19%,21%,17%,18%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,24%,24%,24%,13%,23%,21%,34%,25%,22%,14%,35%,18%,35%,19%,36%,11%,47%,13%,21%,26%,28%,18%,17%,27%,27%,18%,43%,9%,10%,50%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,3%,2%,4%,8%,3%,2%,3%,3%,5%,1%,1%,4%,2%,4%,0%,5%,1%,7%,0%,4%,3%,3%,4%,5%,3%,3%,2%,4%,4%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,10%,7%,12%,13%,12%,11%,6%,9%,13%,11%,7%,12%,7%,11%,7%,14%,13%,17%,6%,9%,10%,13%,4%,9%,8%,13%,8%,11%,17%,8%
How satisfied are you with the way things are going in your life these days?,NET Favorable,43%,45%,42%,49%,40%,50%,34%,44%,33%,54%,34%,49%,33%,50%,40%,42%,25%,51%,53%,33%,40%,43%,52%,35%,40%,52%,29%,55%,52%,21%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,44%,45%,43%,31%,45%,38%,58%,44%,49%,34%,58%,35%,59%,34%,52%,38%,62%,25%,41%,53%,47%,41%,40%,51%,49%,32%,61%,30%,27%,69%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Joe Rogan [roh-gun], the podcast host",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Joe Rogan [roh-gun], the podcast host",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Joe Rogan [roh-gun], the podcast host",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,14%,20%,8%,23%,15%,16%,7%,15%,7%,15%,10%,17%,11%,18%,5%,13%,7%,17%,19%,8%,11%,13%,23%,7%,13%,19%,4%,26%,3%,3%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,19%,23%,16%,25%,23%,18%,15%,20%,11%,22%,21%,18%,20%,20%,30%,9%,23%,29%,17%,16%,17%,15%,18%,15%,19%,22%,6%,29%,28%,5%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,13%,14%,13%,17%,20%,10%,8%,12%,18%,26%,16%,12%,17%,9%,14%,25%,19%,7%,12%,25%,10%,15%,11%,23%,13%,8%,20%,6%,22%,19%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,16%,13%,20%,21%,21%,12%,15%,17%,16%,13%,26%,11%,27%,10%,22%,12%,22%,7%,17%,17%,23%,12%,14%,18%,19%,12%,32%,4%,7%,34%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,22%,17%,27%,4%,8%,26%,39%,22%,27%,17%,13%,27%,13%,27%,12%,28%,22%,22%,24%,19%,21%,26%,21%,22%,22%,22%,23%,21%,26%,21%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,15%,13%,17%,10%,13%,18%,17%,15%,21%,6%,14%,16%,13%,16%,18%,14%,7%,18%,12%,15%,19%,18%,14%,14%,14%,17%,16%,15%,14%,18%
How satisfied are you with the way things are going in your life these days?,NET Favorable,33%,44%,23%,48%,38%,34%,21%,35%,18%,37%,32%,34%,31%,38%,35%,22%,30%,46%,35%,24%,28%,29%,41%,22%,32%,40%,10%,55%,31%,8%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,30%,26%,33%,39%,42%,22%,23%,29%,34%,39%,42%,22%,44%,19%,35%,37%,40%,15%,29%,42%,33%,27%,25%,41%,32%,20%,51%,10%,29%,53%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Bob Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Bob Casey,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Bob Casey,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,17%,14%,20%,5%,11%,19%,29%,18%,19%,13%,21%,15%,22%,15%,21%,14%,31%,14%,22%,12%,15%,16%,15%,18%,20%,14%,37%,<1%,9%,40%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,32%,30%,34%,39%,34%,34%,26%,32%,36%,34%,36%,30%,36%,29%,38%,34%,29%,28%,25%,50%,39%,25%,27%,39%,32%,28%,43%,21%,38%,42%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,17%,19%,15%,14%,25%,12%,17%,17%,17%,18%,14%,18%,14%,19%,17%,18%,10%,20%,16%,15%,17%,20%,18%,14%,15%,20%,6%,26%,20%,4%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,14%,18%,11%,4%,7%,18%,19%,16%,<1%,5%,13%,15%,13%,18%,6%,<.5%,18%,17%,14%,3%,13%,14%,22%,5%,15%,18%,<1%,28%,6%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,8%,9%,7%,17%,9%,5%,5%,6%,14%,21%,5%,10%,4%,7%,9%,20%,3%,6%,12%,13%,6%,8%,7%,14%,7%,6%,4%,11%,15%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,12%,10%,13%,20%,14%,12%,4%,12%,14%,9%,11%,12%,11%,12%,9%,13%,9%,15%,12%,8%,10%,16%,12%,9%,11%,14%,10%,13%,13%,10%
How satisfied are you with the way things are going in your life these days?,NET Favorable,49%,44%,54%,44%,45%,52%,55%,49%,55%,47%,57%,45%,58%,44%,59%,48%,59%,43%,46%,62%,54%,41%,41%,58%,52%,42%,80%,21%,47%,82%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,31%,37%,26%,18%,32%,30%,36%,33%,18%,23%,27%,33%,27%,36%,24%,18%,28%,37%,30%,18%,30%,35%,40%,19%,30%,39%,7%,55%,26%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) David McCormick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) David McCormick,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) David McCormick,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,12%,12%,12%,4%,4%,14%,18%,13%,3%,8%,9%,13%,9%,15%,4%,5%,9%,20%,14%,<1%,11%,12%,14%,2%,12%,16%,4%,21%,2%,4%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,30%,33%,27%,29%,33%,29%,30%,32%,24%,20%,27%,31%,27%,34%,27%,21%,24%,41%,29%,26%,25%,31%,32%,25%,26%,36%,18%,41%,23%,17%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,13%,15%,12%,16%,19%,10%,10%,12%,18%,19%,17%,11%,16%,9%,20%,17%,11%,8%,12%,18%,14%,18%,10%,15%,15%,10%,19%,7%,15%,18%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,11%,11%,12%,10%,9%,10%,15%,12%,9%,3%,17%,8%,19%,8%,6%,7%,22%,5%,6%,9%,10%,15%,15%,13%,12%,9%,22%,2%,<1%,25%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,17%,15%,18%,20%,15%,19%,14%,15%,22%,31%,15%,18%,14%,15%,20%,29%,18%,9%,24%,24%,18%,9%,15%,27%,18%,11%,18%,14%,28%,19%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,17%,15%,20%,21%,20%,18%,13%,17%,23%,19%,16%,19%,14%,18%,23%,21%,15%,17%,15%,22%,22%,14%,14%,18%,18%,17%,18%,14%,31%,17%
How satisfied are you with the way things are going in your life these days?,NET Favorable,42%,45%,39%,34%,37%,43%,48%,44%,27%,28%,36%,44%,36%,50%,31%,26%,34%,61%,43%,27%,36%,44%,46%,28%,39%,53%,22%,62%,25%,21%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,24%,25%,23%,26%,28%,20%,25%,24%,27%,22%,34%,19%,36%,17%,26%,25%,33%,13%,18%,27%,24%,33%,26%,28%,26%,19%,41%,10%,16%,43%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) John Fetterman [FEH-ter-min],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) John Fetterman [FEH-ter-min],Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) John Fetterman [FEH-ter-min],Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,17%,13%,21%,12%,13%,19%,22%,17%,20%,13%,21%,14%,22%,14%,20%,15%,30%,11%,14%,23%,13%,18%,17%,23%,18%,12%,33%,3%,12%,35%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,31%,35%,27%,29%,30%,32%,30%,31%,33%,26%,35%,28%,34%,29%,39%,25%,37%,29%,32%,28%,36%,20%,29%,29%,32%,30%,40%,21%,33%,41%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,19%,21%,16%,25%,21%,19%,13%,19%,12%,26%,21%,18%,23%,17%,11%,21%,10%,18%,22%,16%,19%,20%,23%,15%,19%,20%,11%,27%,13%,11%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,22%,23%,21%,19%,26%,17%,25%,23%,15%,15%,15%,25%,14%,28%,16%,14%,17%,31%,16%,15%,19%,32%,25%,15%,20%,28%,8%,36%,12%,8%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,6%,4%,8%,9%,4%,6%,6%,4%,11%,19%,3%,8%,2%,5%,5%,19%,3%,3%,13%,10%,5%,3%,4%,12%,5%,3%,4%,6%,15%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,6%,5%,7%,6%,6%,7%,5%,6%,9%,2%,5%,7%,4%,7%,9%,5%,3%,9%,4%,8%,8%,8%,2%,7%,5%,7%,3%,7%,15%,3%
How satisfied are you with the way things are going in your life these days?,NET Favorable,48%,48%,48%,41%,43%,51%,51%,48%,53%,38%,56%,43%,56%,43%,59%,41%,67%,40%,46%,51%,49%,37%,46%,51%,50%,42%,74%,24%,45%,75%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,41%,44%,37%,43%,47%,36%,38%,42%,27%,41%,36%,43%,37%,45%,27%,36%,27%,49%,37%,31%,38%,51%,48%,29%,40%,48%,20%,63%,25%,19%
