itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements."
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly agree,47%,50%,44%,40%,46%,53%,45%,49%,33%,44%,50%,45%,48%,46%,52%,42%,40%,40%,48%,51%,46%,38%,44%,55%,21%,67%,67%,19%,64%,53%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat agree,26%,25%,28%,41%,28%,17%,28%,25%,32%,29%,28%,28%,26%,28%,23%,27%,32%,32%,24%,26%,24%,38%,26%,20%,38%,17%,19%,37%,20%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disagree,14%,11%,16%,7%,16%,17%,12%,14%,15%,14%,7%,13%,14%,13%,15%,14%,13%,15%,15%,10%,16%,9%,16%,13%,20%,10%,3%,24%,9%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disagree,11%,11%,11%,10%,6%,12%,13%,10%,19%,12%,11%,13%,10%,13%,7%,14%,15%,9%,12%,11%,12%,14%,11%,9%,20%,4%,4%,19%,5%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,2%,2%,2%,1%,3%,<1%,2%,2%,2%,<1%,4%,1%,2%,<.5%,3%,4%,<.5%,4%,<1%,2%,1%,<1%,2%,3%,1%,2%,6%,<.5%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Agree,73%,75%,72%,82%,74%,70%,73%,74%,65%,73%,78%,73%,74%,74%,74%,69%,72%,72%,72%,77%,70%,76%,70%,75%,59%,83%,87%,56%,84%,76%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disagree,25%,23%,27%,17%,23%,29%,25%,24%,34%,26%,19%,26%,24%,26%,22%,27%,28%,24%,27%,21%,29%,23%,27%,23%,40%,15%,7%,43%,14%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly agree,21%,22%,21%,24%,19%,16%,28%,21%,30%,17%,17%,24%,20%,24%,20%,23%,21%,19%,22%,19%,27%,20%,24%,19%,35%,6%,35%,27%,7%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat agree,21%,21%,21%,37%,23%,17%,15%,17%,24%,29%,39%,25%,19%,25%,12%,26%,32%,21%,23%,19%,22%,28%,23%,15%,30%,12%,26%,32%,13%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disagree,23%,25%,22%,22%,24%,29%,19%,25%,20%,25%,15%,24%,23%,25%,25%,24%,20%,28%,22%,23%,22%,22%,26%,21%,21%,26%,18%,25%,25%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disagree,32%,32%,33%,16%,32%,38%,35%,35%,24%,28%,27%,25%,36%,24%,41%,24%,27%,30%,31%,37%,28%,29%,26%,42%,11%,55%,12%,15%,55%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,2%,1%,2%,<.5%,2%,<1%,3%,2%,2%,1%,1%,2%,2%,1%,3%,3%,<.5%,3%,1%,2%,1%,<1%,2%,3%,2%,<1%,9%,1%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Agree,42%,42%,42%,61%,42%,32%,43%,38%,54%,46%,57%,49%,39%,50%,31%,48%,53%,40%,45%,38%,49%,49%,46%,34%,66%,18%,61%,59%,19%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disagree,56%,56%,55%,38%,56%,67%,54%,60%,44%,53%,42%,49%,60%,49%,66%,48%,46%,57%,54%,60%,50%,51%,52%,63%,33%,82%,30%,40%,80%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Joe Biden’s age makes him ineffective, but he is still able to handle the job of president well enough",26%,23%,29%,40%,28%,16%,26%,24%,33%,31%,27%,30%,23%,30%,20%,30%,30%,24%,28%,24%,29%,36%,29%,16%,45%,10%,18%,42%,14%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden’s age is such a problem that he is not capable of handling the job of president,45%,50%,41%,41%,45%,52%,42%,48%,29%,39%,49%,41%,48%,43%,52%,38%,38%,46%,43%,49%,41%,37%,40%,57%,13%,71%,60%,13%,69%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,2%,2%,1%,1%,1%,4%,2%,3%,3%,2%,1%,3%,1%,2%,2%,4%,2%,1%,4%,<1%,3%,1%,2%,1%,2%,8%,1%,1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Somewhat disagree,14%,11%,16%,7%,16%,17%,12%,14%,15%,14%,7%,13%,14%,13%,15%,14%,13%,15%,15%,10%,16%,9%,16%,13%,20%,10%,3%,24%,9%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Strongly disagree,11%,11%,11%,10%,6%,12%,13%,10%,19%,12%,11%,13%,10%,13%,7%,14%,15%,9%,12%,11%,12%,14%,11%,9%,20%,4%,4%,19%,5%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don't know/Refused,2%,2%,2%,1%,3%,<1%,2%,2%,2%,<1%,4%,1%,2%,<.5%,3%,4%,<.5%,4%,<1%,2%,1%,<1%,2%,3%,1%,2%,6%,<.5%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Donald Trump’s age makes him ineffective, but he is still able to handle the job of president well enough",21%,19%,22%,39%,24%,15%,13%,17%,27%,30%,28%,22%,20%,20%,15%,25%,31%,21%,28%,14%,23%,24%,21%,18%,25%,15%,32%,24%,13%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump’s age  is such a problem that he is not capable of handling the job of president,19%,21%,18%,20%,17%,16%,26%,20%,19%,13%,24%,24%,17%,28%,15%,16%,19%,18%,16%,21%,22%,19%,24%,14%,37%,2%,27%,30%,6%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,2%,2%,2%,<1%,2%,4%,1%,8%,2%,4%,4%,1%,2%,<.5%,7%,4%,1%,<1%,3%,3%,6%,<1%,2%,4%,<1%,2%,5%,<1%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Somewhat disagree,23%,25%,22%,22%,24%,29%,19%,25%,20%,25%,15%,24%,23%,25%,25%,24%,20%,28%,22%,23%,22%,22%,26%,21%,21%,26%,18%,25%,25%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Strongly disagree,32%,32%,33%,16%,32%,38%,35%,35%,24%,28%,27%,25%,36%,24%,41%,24%,27%,30%,31%,37%,28%,29%,26%,42%,11%,55%,12%,15%,55%,29%
