itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The Supreme Court,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,30%,40%,22%,15%,23%,34%,33%,36%,7%,15%,16%,22%,36%,26%,44%,7%,16%,20%,23%,43%,26%,17%,28%,43%,0%,59%,17%,4%,70%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,16%,17%,15%,22%,22%,17%,10%,14%,9%,38%,6%,14%,17%,11%,17%,18%,14%,15%,14%,13%,23%,10%,15%,22%,4%,27%,13%,6%,20%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,9%,9%,10%,15%,10%,8%,8%,8%,19%,10%,9%,11%,8%,11%,6%,12%,14%,6%,11%,11%,9%,12%,10%,5%,14%,4%,15%,11%,4%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,38%,28%,47%,44%,37%,35%,42%,34%,63%,19%,66%,50%,31%,48%,24%,56%,49%,49%,44%,28%,37%,54%,38%,26%,78%,3%,27%,75%,<1%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,7%,6%,7%,4%,7%,5%,7%,7%,2%,17%,2%,4%,8%,3%,10%,6%,7%,10%,8%,5%,5%,7%,9%,4%,4%,7%,28%,4%,4%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,46%,57%,36%,37%,45%,52%,43%,51%,16%,54%,23%,35%,53%,37%,60%,26%,30%,35%,37%,56%,49%,27%,42%,65%,4%,86%,30%,11%,91%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,47%,37%,57%,60%,48%,43%,49%,42%,81%,29%,75%,61%,39%,59%,30%,68%,63%,55%,55%,38%,46%,66%,49%,31%,92%,8%,42%,85%,5%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,20%,33%,27%,67%,11%,8%,9%,42%,56%,29%,37%,11%,17%,22%,19%,34%,26%,24%,42%,34%,45%,50%,6%,34%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Foreign conflicts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Foreign conflicts,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Foreign conflicts,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,33%,46%,23%,22%,31%,38%,32%,39%,9%,20%,30%,30%,36%,34%,42%,18%,20%,39%,26%,39%,26%,29%,29%,41%,2%,69%,21%,4%,61%,35%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,16%,12%,19%,14%,20%,14%,15%,17%,7%,12%,12%,10%,19%,9%,22%,15%,7%,20%,7%,20%,13%,8%,16%,20%,7%,22%,30%,9%,26%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,14%,9%,17%,22%,18%,9%,13%,11%,20%,23%,10%,15%,12%,14%,9%,17%,19%,14%,16%,11%,15%,15%,15%,11%,23%,2%,25%,19%,6%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,31%,29%,33%,37%,28%,35%,30%,27%,43%,41%,45%,39%,26%,37%,21%,45%,42%,18%,46%,25%,38%,42%,33%,22%,60%,4%,5%,58%,7%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,7%,4%,8%,5%,3%,4%,10%,6%,21%,4%,2%,6%,7%,7%,5%,4%,12%,9%,5%,6%,8%,6%,7%,6%,8%,3%,20%,10%,<1%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,49%,58%,42%,36%,51%,52%,47%,56%,16%,32%,43%,40%,55%,42%,64%,33%,28%,59%,32%,59%,39%,37%,45%,61%,9%,92%,51%,13%,87%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,44%,38%,50%,59%,46%,44%,43%,38%,63%,64%,55%,54%,38%,50%,30%,62%,60%,32%,62%,36%,53%,57%,47%,34%,83%,5%,30%,77%,13%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,44%,55%,11%,23%,33%,29%,71%,8%,12%,6%,38%,61%,26%,44%,10%,16%,21%,21%,35%,22%,21%,43%,36%,48%,44%,8%,33%,29%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,24%,34%,15%,12%,22%,24%,32%,29%,8%,13%,7%,18%,29%,21%,34%,5%,12%,16%,17%,29%,31%,16%,20%,35%,1%,48%,5%,3%,54%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,20%,21%,18%,20%,16%,23%,17%,20%,10%,31%,11%,11%,26%,10%,29%,13%,19%,17%,21%,27%,11%,13%,22%,22%,3%,34%,25%,7%,33%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,11%,11%,12%,16%,20%,7%,9%,10%,7%,22%,22%,11%,11%,8%,12%,21%,10%,10%,14%,9%,13%,5%,14%,13%,13%,10%,9%,10%,6%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,41%,31%,51%,51%,39%,44%,39%,37%,74%,31%,58%,59%,30%,59%,21%,61%,55%,51%,45%,33%,42%,62%,41%,27%,80%,5%,55%,78%,3%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,4%,1%,4%,3%,3%,4%,<1%,3%,2%,2%,4%,3%,5%,0%,3%,6%,3%,2%,3%,3%,4%,3%,3%,3%,7%,2%,4%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,44%,55%,33%,32%,38%,46%,49%,49%,18%,44%,18%,29%,55%,31%,62%,19%,31%,33%,38%,56%,42%,29%,42%,57%,4%,82%,29%,10%,87%,41%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,53%,41%,63%,67%,58%,51%,48%,47%,81%,53%,80%,69%,41%,66%,33%,81%,65%,61%,59%,42%,55%,68%,54%,40%,93%,15%,64%,88%,9%,56%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,20%,33%,27%,67%,11%,8%,9%,42%,56%,29%,37%,11%,17%,22%,19%,34%,26%,24%,42%,34%,45%,50%,6%,34%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Immigration,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,36%,44%,30%,15%,31%,43%,40%,43%,11%,20%,24%,29%,41%,34%,48%,16%,20%,44%,32%,37%,32%,30%,26%,52%,2%,74%,33%,5%,69%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,14%,14%,15%,15%,18%,12%,12%,15%,13%,13%,12%,12%,16%,13%,16%,12%,14%,20%,8%,20%,6%,8%,18%,14%,6%,18%,44%,8%,21%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,12%,12%,11%,15%,11%,8%,16%,9%,28%,8%,24%,12%,11%,12%,7%,12%,20%,9%,13%,10%,15%,16%,16%,5%,21%,3%,2%,14%,4%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,35%,28%,41%,54%,38%,33%,30%,29%,48%,59%,38%,44%,29%,39%,24%,59%,46%,22%,45%,29%,46%,46%,36%,26%,67%,3%,15%,70%,5%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,2%,3%,2%,2%,3%,2%,4%,0%,0%,2%,2%,3%,2%,5%,0%,<1%,5%,2%,4%,<.5%,0%,4%,3%,4%,1%,6%,4%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,51%,57%,45%,30%,49%,55%,52%,58%,23%,34%,37%,41%,57%,47%,65%,28%,34%,64%,40%,57%,39%,38%,44%,66%,8%,92%,77%,13%,90%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,46%,40%,52%,69%,49%,42%,46%,38%,77%,66%,61%,57%,40%,51%,31%,72%,66%,31%,58%,39%,61%,62%,52%,31%,88%,6%,17%,84%,8%,47%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,44%,55%,11%,23%,33%,29%,71%,8%,12%,6%,38%,61%,26%,44%,10%,16%,21%,21%,35%,22%,21%,43%,36%,48%,44%,8%,33%,29%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:,Tell me whether you approve or disapprove of the way Joe Biden is handling each of the following issues as president:
