itm,v1,likely_voters_likely_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Robert F. Kennedy Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Robert F. Kennedy Jr.,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Robert F. Kennedy Jr.,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,7%,7%,5%,4%,9%,8%,7%,7%,6%,9%,10%,6%,3%,5%,7%,11%,12%,6%,7%,4%,6%,9%,10%,7%,7%,6%,4%,8%,11%,3%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,34%,35%,37%,32%,34%,35%,30%,35%,33%,42%,37%,34%,28%,34%,29%,42%,30%,30%,36%,31%,36%,28%,37%,31%,31%,38%,20%,45%,40%,16%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,18%,18%,17%,21%,13%,19%,17%,19%,17%,16%,18%,19%,17%,18%,16%,13%,19%,20%,16%,21%,17%,20%,14%,15%,20%,16%,20%,16%,14%,20%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,23%,23%,20%,22%,21%,26%,25%,24%,22%,11%,17%,21%,34%,24%,26%,11%,26%,28%,20%,29%,21%,25%,18%,27%,22%,20%,39%,10%,10%,45%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,6%,4%,5%,9%,7%,3%,6%,4%,7%,9%,5%,7%,5%,5%,8%,8%,4%,4%,6%,4%,6%,6%,7%,7%,6%,5%,5%,6%,9%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,13%,14%,16%,13%,14%,9%,15%,12%,15%,14%,14%,13%,13%,13%,15%,15%,9%,12%,14%,12%,14%,13%,13%,13%,13%,14%,12%,14%,16%,12%
How satisfied are you with the way things are going in your life these days?,NET Favorable,40%,41%,42%,36%,44%,43%,37%,42%,39%,51%,47%,40%,31%,39%,35%,53%,42%,35%,43%,35%,42%,37%,47%,38%,38%,45%,24%,53%,51%,19%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,40%,41%,36%,42%,35%,46%,42%,42%,39%,27%,35%,40%,51%,42%,42%,24%,44%,48%,36%,49%,37%,45%,33%,42%,43%,37%,59%,27%,24%,65%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Joe Rogan [roh-gun], the podcast host",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Joe Rogan [roh-gun], the podcast host",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Joe Rogan [roh-gun], the podcast host",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,12%,15%,9%,10%,15%,14%,11%,16%,8%,14%,18%,13%,6%,13%,4%,14%,13%,10%,14%,9%,15%,11%,9%,11%,11%,15%,2%,22%,6%,2%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,20%,22%,20%,20%,22%,19%,18%,24%,17%,29%,26%,20%,13%,21%,14%,23%,24%,19%,21%,20%,21%,17%,21%,19%,20%,21%,10%,30%,19%,8%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,13%,13%,12%,14%,14%,13%,11%,12%,13%,21%,15%,12%,9%,13%,13%,16%,14%,15%,12%,16%,11%,13%,15%,15%,15%,10%,18%,8%,15%,18%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,19%,18%,22%,19%,17%,17%,19%,16%,21%,17%,20%,18%,19%,18%,24%,16%,22%,24%,15%,23%,14%,27%,18%,20%,20%,16%,32%,7%,17%,34%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,21%,19%,22%,22%,16%,22%,23%,16%,25%,9%,10%,20%,34%,20%,28%,15%,16%,18%,21%,18%,22%,18%,21%,19%,20%,22%,23%,18%,23%,22%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,15%,13%,15%,15%,15%,16%,18%,15%,16%,10%,12%,18%,18%,15%,18%,15%,12%,14%,16%,14%,17%,15%,15%,15%,14%,17%,15%,15%,20%,15%
How satisfied are you with the way things are going in your life these days?,NET Favorable,33%,37%,29%,30%,38%,33%,29%,41%,25%,43%,44%,33%,19%,34%,17%,38%,36%,29%,35%,30%,37%,28%,30%,31%,30%,36%,12%,52%,25%,10%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,32%,31%,34%,33%,32%,30%,30%,28%,35%,38%,35%,30%,28%,30%,37%,32%,36%,38%,27%,39%,25%,39%,34%,36%,35%,25%,50%,15%,32%,52%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Bob Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Bob Casey,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Bob Casey,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,19%,-,-,-,-,19%,-,15%,22%,6%,10%,20%,29%,19%,22%,34%,7%,22%,17%,23%,16%,22%,18%,20%,21%,15%,39%,<1%,8%,43%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,32%,-,-,-,-,32%,-,30%,34%,43%,36%,32%,26%,31%,39%,29%,42%,36%,30%,36%,28%,41%,38%,43%,32%,28%,42%,20%,46%,41%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,17%,-,-,-,-,17%,-,19%,15%,15%,25%,13%,17%,18%,15%,8%,21%,15%,19%,15%,19%,15%,16%,12%,16%,21%,6%,27%,19%,4%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,16%,-,-,-,-,16%,-,20%,13%,4%,7%,19%,21%,17%,1%,0%,10%,14%,17%,13%,20%,8%,<1%,6%,17%,20%,<1%,32%,9%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,6%,-,-,-,-,6%,-,6%,5%,13%,8%,4%,3%,5%,8%,22%,14%,3%,7%,3%,6%,6%,15%,8%,5%,5%,3%,8%,6%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,10%,-,-,-,-,10%,-,9%,11%,19%,14%,12%,3%,10%,15%,7%,6%,9%,11%,10%,11%,8%,13%,10%,9%,12%,9%,11%,12%,9%
How satisfied are you with the way things are going in your life these days?,NET Favorable,51%,-,-,-,-,51%,-,46%,56%,49%,46%,52%,55%,50%,62%,64%,49%,59%,46%,59%,44%,62%,56%,63%,53%,43%,82%,21%,54%,84%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,33%,-,-,-,-,33%,-,39%,28%,19%,32%,32%,38%,35%,16%,8%,31%,29%,36%,29%,39%,24%,16%,18%,32%,41%,6%,59%,27%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,52%,12%,22%,34%,30%,83%,9%,2%,4%,39%,60%,33%,50%,6%,10%,16%,48%,36%,45%,48%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) David McCormick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) David McCormick,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) David McCormick,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,13%,-,-,-,-,13%,-,13%,14%,5%,5%,16%,18%,14%,3%,26%,3%,10%,15%,10%,17%,4%,7%,3%,14%,18%,4%,23%,3%,4%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,31%,-,-,-,-,31%,-,35%,29%,32%,36%,30%,31%,33%,28%,13%,31%,28%,34%,28%,36%,29%,26%,29%,27%,38%,18%,44%,31%,17%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,12%,-,-,-,-,12%,-,14%,11%,16%,17%,10%,10%,12%,17%,12%,17%,16%,10%,16%,9%,18%,15%,12%,15%,10%,19%,6%,13%,19%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,12%,-,-,-,-,12%,-,12%,12%,11%,10%,10%,16%,13%,9%,<1%,4%,18%,9%,20%,9%,6%,7%,16%,12%,10%,24%,2%,1%,26%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,15%,-,-,-,-,15%,-,13%,16%,16%,14%,17%,12%,13%,20%,34%,29%,14%,16%,12%,13%,21%,26%,23%,16%,9%,18%,12%,18%,18%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,16%,-,-,-,-,16%,-,13%,18%,19%,19%,16%,12%,15%,22%,15%,15%,14%,17%,13%,17%,22%,18%,17%,15%,16%,16%,13%,33%,16%
How satisfied are you with the way things are going in your life these days?,NET Favorable,45%,-,-,-,-,45%,-,48%,43%,37%,41%,46%,50%,47%,32%,39%,34%,38%,49%,38%,52%,33%,33%,32%,41%,56%,23%,67%,34%,21%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,25%,-,-,-,-,25%,-,26%,24%,27%,27%,21%,27%,25%,26%,13%,22%,34%,19%,36%,18%,24%,23%,27%,27%,19%,43%,8%,14%,45%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,52%,12%,22%,34%,30%,83%,9%,2%,4%,39%,60%,33%,50%,6%,10%,16%,48%,36%,45%,48%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) John Fetterman [FEH-ter-min],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) John Fetterman [FEH-ter-min],Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) John Fetterman [FEH-ter-min],Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,18%,-,-,-,-,18%,-,13%,22%,14%,14%,19%,23%,18%,21%,8%,16%,23%,15%,23%,15%,21%,16%,25%,19%,13%,35%,2%,16%,37%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,31%,-,-,-,-,31%,-,35%,29%,30%,30%,34%,30%,31%,37%,9%,34%,35%,29%,35%,29%,38%,30%,32%,32%,31%,41%,22%,37%,41%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,18%,-,-,-,-,18%,-,21%,16%,24%,21%,20%,14%,19%,10%,36%,21%,21%,17%,22%,17%,11%,19%,13%,20%,20%,11%,27%,13%,10%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,22%,-,-,-,-,22%,-,23%,22%,19%,25%,18%,25%,23%,16%,0%,25%,15%,27%,13%,29%,17%,16%,16%,20%,28%,8%,37%,13%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,4%,-,-,-,-,4%,-,3%,5%,7%,4%,4%,3%,3%,8%,46%,2%,2%,5%,2%,3%,5%,15%,8%,4%,2%,3%,5%,6%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,6%,-,-,-,-,6%,-,4%,6%,6%,5%,6%,5%,6%,8%,0%,2%,5%,6%,4%,7%,8%,4%,7%,5%,6%,2%,7%,16%,2%
How satisfied are you with the way things are going in your life these days?,NET Favorable,49%,-,-,-,-,49%,-,49%,51%,44%,44%,52%,53%,50%,58%,18%,50%,58%,45%,58%,44%,59%,46%,57%,51%,44%,76%,24%,53%,78%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,41%,-,-,-,-,41%,-,44%,37%,43%,47%,37%,39%,42%,26%,36%,46%,35%,44%,36%,46%,28%,35%,28%,40%,48%,18%,64%,26%,17%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,52%,12%,22%,34%,30%,83%,9%,2%,4%,39%,60%,33%,50%,6%,10%,16%,48%,36%,45%,48%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What one issue is most important in deciding your vote this November?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,What one issue is most important in deciding your vote this November?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
